File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
repo_1\pdf_viewer\shell.c,2128,11,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchmod( ) instead.,,CWE-362,#  ifndef chmod,ff23e513ccc6eb1dad9d6f352c29d8fdc94c733f7fd4c27a1685bcca221355f5,2.0.19,FF1033,https://cwe.mitre.org/data/definitions/362.html
repo_1\pdf_viewer\shell.c,2129,13,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchmod( ) instead.,,CWE-362,#    define chmod _chmod,0f2550e8aa7853288637a15c7b1f674df81d2e9673092cf7bb95dadc479ee056,2.0.19,FF1033,https://cwe.mitre.org/data/definitions/362.html
repo_1\pdf_viewer\shell.c,2399,54,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchmod( ) instead.,,CWE-362,"         || ((sStat.st_mode&0777)!=(mode&0777) && 0!=chmod(zFile, mode&0777))",144fd1da123af6af0207292260fd5ee30f4f322c0fffdfcd13b48bd693dce90d,2.0.19,FF1033,https://cwe.mitre.org/data/definitions/362.html
repo_1\pdf_viewer\shell.c,2419,28,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchmod( ) instead.,,CWE-362,"      if( rc==0 && mode && chmod(zFile, mode & 0777) ){",f6b1323c29c066aab48fabc03f14c3498a0ee9833672e13a9cc450dbbe3f0833,2.0.19,FF1033,https://cwe.mitre.org/data/definitions/362.html
repo_1\pdf_viewer\shell.c,2792,15,5,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20).",Reconsider approach.,,"CWE-362, CWE-20","          n = readlink(pCur->zPath, aBuf, nBuf);",0722932a3d49bac24064372d31bf0ffe0143e68702d81eaed27411651b1c19f3,2.0.19,FF1035,https://cwe.mitre.org/data/definitions/362.html
repo_1\pdf_viewer\sqlite3.c,33812,42,5,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20).",Reconsider approach.,,"CWE-362, CWE-20","  { ""readlink"",     (sqlite3_syscall_ptr)readlink,        0 },",b7cbb0861ea97ae325e8eac883d6c7b1efe5fdeec1c9f4e068cbac3e9efcbc28,2.0.19,FF1035,https://cwe.mitre.org/data/definitions/362.html
repo_1\pdf_viewer\shell.c,153,10,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,# ifndef access,ec2d031f0065ae8f7004a93cf94d0f8eec6233cff6b3e8d42d7cf7273e3eb005,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
repo_1\pdf_viewer\shell.c,154,11,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"#  define access(f,m) _access((f),(m))",824f598508fa7f52cf0c8f96fa8a986a4a7f5c290361d0092d01d6f48ee3d2af,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
repo_1\pdf_viewer\shell.c,162,9,4,4,shell,popen,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,# undef popen,e958a536983a07206086a96a1d80e6810e634230727b64ec33afcb301ba1307f,2.0.19,FF1043,https://cwe.mitre.org/data/definitions/78.html
repo_1\pdf_viewer\shell.c,163,10,4,4,shell,popen,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,# define popen _popen,16bc9bb6a36ad5896ee4afb0b990c549441aaf10dacb1993a3b502163f2aca25,2.0.19,FF1043,https://cwe.mitre.org/data/definitions/78.html
repo_1\pdf_viewer\shell.c,173,17,4,4,shell,popen,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,"   extern FILE *popen(const char*,const char*);",a1be78932952f0accd0b2d051f2b35e035f3362c61f16ae34e10caa952ea08de,2.0.19,FF1043,https://cwe.mitre.org/data/definitions/78.html
repo_1\pdf_viewer\shell.c,447,5,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"    vfprintf(out, zFormat, ap);",38a20dbbc21e10092470ef441fa22d915f3bddd6b3a4a111db3194283a8e9992,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
repo_1\pdf_viewer\shell.c,452,22,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,# define utf8_printf fprintf,4726f825713e02bbbb143cc11a87fe03f423ea714fb54e6109af1cb7a1e4f104,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
repo_1\pdf_viewer\shell.c,460,21,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,# define raw_printf fprintf,fffbe0ffb137414e31c83fadc140062b607f603f993b897e875d9e5fbd21afef,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
repo_1\pdf_viewer\shell.c,9843,8,4,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,  rc = system(zCmd);,a372bcc3a1a627e6fa31ad860ba599fcf3146661a17c4b807b1d23a44032b12c,2.0.19,FF1044,https://cwe.mitre.org/data/definitions/78.html
repo_1\pdf_viewer\shell.c,13410,7,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"  if( access(zNewDb,0)==0 ){",476debea8cfb191e8d430be82b46a5f9b626532639b185dfd0dcc2bd8a8b1d8c,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
repo_1\pdf_viewer\shell.c,13455,11,4,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,      if( system(zCmd) ){,f1281f0b6a9ff07e31a865ea38c91a6a249303c1a6cbbe60185a20753b7866c0,2.0.19,FF1044,https://cwe.mitre.org/data/definitions/78.html
repo_1\pdf_viewer\shell.c,16194,17,4,4,shell,popen,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,"      sCtx.in = popen(sCtx.zFile+1, ""r"");",9511ca044c5d1ae28da9d887f7817331fc22c0104896461da5a9b262b8833568,2.0.19,FF1043,https://cwe.mitre.org/data/definitions/78.html
repo_1\pdf_viewer\shell.c,16722,16,4,4,shell,popen,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,"      p->out = popen(zFile + 1, ""w"");",bb5ac782a0b5a336de4eda08589cae409959099cd2e8cf4eda3d25207e963e4f,2.0.19,FF1043,https://cwe.mitre.org/data/definitions/78.html
repo_1\pdf_viewer\shell.c,17604,9,4,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,    x = system(zCmd);,25012963f6ea713ea1a51b26733ed88ff273dae2112e776ee1f99ab6c1f05b0c,2.0.19,FF1044,https://cwe.mitre.org/data/definitions/78.html
