File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
repo_3\src\misc\helpers.h,433,25,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchmod( ) instead.,,CWE-362,"  if (!is_executable && chmod(filename, S_IXUSR | buffer.st_mode) != 0) {",8d18a7eb71ffa2e0e67111aec10209de65b71a334e324186c3832a22abae7d5c,2.0.19,FF1033,https://cwe.mitre.org/data/definitions/362.html
repo_3\src\mach.c,172,3,4,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"  snprintf(bs_name, 256, MACH_BS_NAME_FMT, g_name);",d30417b3ff4b30ef4f019afbef8b6802fa08a438027fe00a52dabd4b1a350909,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_3\src\misc\helpers.h,120,3,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"  vfprintf(rsp, response, args_rsp);",6a0413f861e0d1fa3cb18da077f480918308950e5db6ff380afac33a6ae56ee3,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
repo_3\src\misc\helpers.h,121,3,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"  vfprintf(stdout, response, args_stdout);",f85278926b6a5902d2aaec3dc8921963368fb7b1e8fe6312fcc5a5f049f9652d,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
repo_3\src\misc\helpers.h,447,10,4,4,shell,execvp,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,"  return execvp(exec[0], exec);",ab6582a9b000b50494b9240afcfddfb898be135c2c199ead4285e380065b0492,2.0.19,FF1043,https://cwe.mitre.org/data/definitions/78.html
repo_3\src\misc\helpers.h,550,5,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"    vfprintf(stderr, format, args);",2519fe143d05d55ee8400517c050ca14f01693ce86fd9cc64717f7bd52bb6418,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
repo_3\src\sketchybar.c,86,3,4,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"  snprintf(bs_name, 256, MACH_BS_NAME_FMT, g_name);",d30417b3ff4b30ef4f019afbef8b6802fa08a438027fe00a52dabd4b1a350909,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_3\src\sketchybar.c,134,3,4,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"  snprintf(g_lock_file, sizeof(g_lock_file), LCFILE_PATH_FMT, g_name, user);",9334e78c5ef91303305f45bdfefeb6296ebb3a2ec4fdc8d9420562496b514ec9,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_3\src\sketchybar.c,156,5,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"    printf(help_str, argv[0]);",13acff6914fce647d90c1103ccb6f8468d20bf09c16b093a9ed72af17b461672,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
repo_3\src\hotload.c,20,16,3,3,buffer,realpath,"This function does not protect against buffer overflows, and some implementations can overflow internally (CWE-120/CWE-785!).","Ensure that the destination buffer is at least of size MAXPATHLEN, andto protect against implementation problems, the input argument should also be checked to ensure it is no larger than MAXPATHLEN.",,CWE-120/CWE-785!,"  char* path = realpath(file, NULL);",b238fa40e8c9f589f7344ff9f8bf5d0fb10e088052fb578bc0eaa41f888d9957,2.0.19,FF1026,https://cwe.mitre.org/data/definitions/120.htmlhttps://cwe.mitre.org/data/definitions/785.html
