Tool_name,CWE_ID,Total_Number_of_Findings,Is_In_CWE_Top_25?
cppcheck,CWE-788,5,No
cppcheck,CWE-476,256,Yes
cppcheck,CWE-682,4,No
cppcheck,CWE-398,52,No
cppcheck,CWE-562,3,No
cppcheck,CWE-758,6,No
cppcheck,CWE-401,48,No
cppcheck,CWE-467,1,No
cppcheck,CWE-190,1,Yes
cppcheck,CWE-195,1,No
cppcheck,CWE-457,60,No
cppcheck,CWE-683,1,No
cppcheck,CWE-672,1,No
cppcheck,CWE-664,1,No
cppcheck,CWE-686,8,No
flawfinder,CWE-362,126,No
flawfinder,CWE-20,43,Yes
flawfinder,CWE-367,5,No
flawfinder,CWE-78,9,Yes
flawfinder,CWE-134,56,No
flawfinder,CWE-120,816,No
flawfinder,CWE-807,23,No
flawfinder,CWE-829,1,No
flawfinder,CWE-327,2,No
flawfinder,CWE-119,277,Yes
flawfinder,CWE-190,18,Yes
flawfinder,CWE-126,272,No
flawfinder,CWE-676,6,No
flawfinder,CWE-785,1,No
semgrep,None,0,No
